date,close,open,high,low,volume,%
2022/6/22,"15,347.75","15,687.46","15,687.46","15,346.95",3.95B,-2.42%
2022/6/21,"15,728.64","15,427.33","15,728.64","15,427.33",3.55B,2.35%
2022/6/20,"15,367.58","15,649.20","15,667.68","15,367.58",4.00B,-1.75%
2022/6/17,"15,641.26","15,794.16","15,794.16","15,573.38",4.37B,-1.25%
2022/6/16,"15,838.61","16,098.29","16,209.25","15,838.29",3.64B,-1.00%
2022/6/15,"15,999.25","16,025.84","16,106.75","15,981.56",2.97B,-0.30%
2022/6/14,"16,047.37","15,975.17","16,067.80","15,869.06",3.09B,-0.15%
2022/6/13,"16,070.98","16,295.07","16,295.07","16,055.89",3.11B,-2.36%
2022/6/10,"16,460.12","16,581.81","16,581.81","16,403.33",2.37B,-0.97%
2022/6/9,"16,621.34","16,643.95","16,643.95","16,557.54",2.37B,-0.29%
2022/6/8,"16,670.51","16,538.67","16,702.99","16,538.67",2.41B,0.95%
2022/6/7,"16,512.88","16,593.75","16,593.75","16,465.87",2.44B,-0.56%
2022/6/6,"16,605.96","16,570.89","16,654.12","16,509.01",2.87B,0.32%
2022/6/2,"16,552.57","16,605.46","16,617.26","16,540.55",2.64B,-0.73%
2022/6/1,"16,675.09","16,718.91","16,811.04","16,649.91",3.10B,-0.79%
2022/5/31,"16,807.77","16,561.68","16,807.77","16,493.07",5.52B,1.19%
2022/5/30,"16,610.62","16,368.93","16,610.62","16,368.93",3.34B,2.12%
2022/5/27,"16,266.22","16,075.91","16,266.22","16,075.91",2.95B,1.86%
2022/5/26,"15,968.83","16,128.21","16,179.01","15,949.61",3.06B,-0.84%
2022/5/25,"16,104.03","15,987.74","16,169.18","15,980.90",3.11B,0.88%
2022/5/24,"15,963.63","16,166.57","16,219.80","15,963.63",2.96B,-1.19%
2022/5/23,"16,156.41","16,193.92","16,249.45","16,125.45",3.30B,0.07%
2022/5/20,"16,144.85","16,061.92","16,181.66","16,058.20",2.84B,0.78%
2022/5/19,"16,020.32","16,111.49","16,111.49","15,892.73",3.42B,-1.70%
2022/5/18,"16,296.86","16,174.78","16,316.58","16,172.80",3.41B,1.50%
2022/5/17,"16,056.09","15,915.93","16,085.85","15,915.93",2.80B,0.98%
2022/5/16,"15,901.04","15,943.69","16,032.85","15,847.46",3.30B,0.43%
2022/5/13,"15,832.54","15,687.15","15,860.69","15,687.15",3.22B,1.38%
2022/5/12,"15,616.68","15,943.62","15,943.62","15,616.68",4.04B,-2.43%
2022/5/11,"16,006.25","16,053.75","16,081.15","15,953.27",2.94B,-0.35%
2022/5/10,"16,061.70","15,891.40","16,071.50","15,734.44",3.49B,0.08%
2022/5/9,"16,048.92","16,345.84","16,345.84","16,048.92",3.74B,-2.19%
2022/5/6,"16,408.20","16,491.11","16,491.11","16,312.17",3.19B,-1.72%
2022/5/5,"16,696.12","16,689.98","16,783.78","16,650.81",3.22B,0.79%
2022/5/4,"16,565.83","16,531.37","16,617.06","16,514.30",2.63B,0.41%
2022/5/3,"16,498.90","16,593.21","16,604.87","16,465.99",2.46B,-0.56%
2022/4/29,"16,592.18","16,599.84","16,663.66","16,521.94",3.42B,1.05%
2022/4/28,"16,419.38","16,350.72","16,455.57","16,256.88",3.64B,0.71%
2022/4/27,"16,303.35","16,427.32","16,427.32","16,219.41",4.26B,-2.05%
2022/4/26,"16,644.79","16,682.78","16,729.47","16,582.58",,0.14%
2022/4/25,"16,620.90","16,912.30","16,912.30","16,579.89",4.53B,-2.37%
2022/4/22,"17,025.09","17,088.76","17,088.76","16,923.87",4.32B,-0.60%
2022/4/21,"17,127.95","17,159.88","17,213.66","17,106.37",3.95B,-0.12%
2022/4/20,"17,148.88","17,057.13","17,148.88","16,983.55",4.80B,0.91%
2022/4/19,"16,993.40","16,926.34","17,106.26","16,926.34",3.51B,0.56%
2022/4/18,"16,898.87","16,958.66","16,999.36","16,845.51",4.02B,-0.62%
2022/4/15,"17,004.18","17,139.34","17,141.33","17,004.18",4.08B,-1.40%
2022/4/14,"17,245.65","17,353.25","17,374.14","17,245.65",4.43B,-0.32%
2022/4/13,"17,301.65","17,080.40","17,333.21","17,080.40",4.06B,1.83%
2022/4/12,"16,990.91","17,005.84","17,100.85","16,905.13",4.10B,-0.34%
2022/4/11,"17,048.37","17,273.05","17,316.35","17,046.67",4.58B,-1.37%
2022/4/8,"17,284.54","17,210.40","17,316.69","17,210.40",3.54B,0.62%
2022/4/7,"17,178.63","17,430.13","17,438.60","17,178.63",4.86B,-1.96%
2022/4/6,"17,522.50","17,484.19","17,528.99","17,381.07",4.24B,-0.58%
2022/4/1,"17,625.59","17,657.76","17,657.76","17,465.61",3.40B,-0.38%
2022/3/31,"17,693.47","17,754.10","17,767.81","17,682.53",3.42B,-0.27%
2022/3/30,"17,740.56","17,572.90","17,770.07","17,572.90",3.74B,1.09%
2022/3/29,"17,548.66","17,568.32","17,585.91","17,493.01",3.43B,0.16%
2022/3/28,"17,520.01","17,510.15","17,527.15","17,368.66",3.20B,-0.89%
2022/3/25,"17,676.95","17,695.80","17,747.13","17,633.86",3.87B,-0.12%
2022/3/24,"17,699.06","17,711.17","17,711.17","17,603.22",3.88B,-0.18%
2022/3/23,"17,731.37","17,581.62","17,738.69","17,581.62",3.95B,0.98%
2022/3/22,"17,559.71","17,512.41","17,573.29","17,468.55",3.45B,0.00%
2022/3/21,"17,560.36","17,503.95","17,603.99","17,503.95",3.70B,0.59%
2022/3/18,"17,456.52","17,439.91","17,472.38","17,359.50",4.98B,0.05%
2022/3/17,"17,448.22","17,172.81","17,472.95","17,172.81",5.03B,3.00%
2022/3/16,"16,940.83","17,007.58","17,085.77","16,808.43",4.85B,0.09%
2022/3/15,"16,926.06","17,177.27","17,177.27","16,911.95",4.14B,-1.95%
2022/3/14,"17,263.04","17,287.90","17,363.04","17,217.58",3.43B,-0.01%
2022/3/11,"17,264.74","17,373.82","17,373.90","17,239.90",3.11B,-0.97%
2022/3/10,"17,433.20","17,224.73","17,478.43","17,224.73",4.49B,2.46%
2022/3/9,"17,015.36","16,944.08","17,072.74","16,944.08",3.96B,1.13%
2022/3/8,"16,825.25","17,000.00","17,113.67","16,764.78",5.88B,-2.06%
2022/3/7,"17,178.69","17,581.57","17,581.57","17,135.68",5.83B,-3.15%
2022/3/4,"17,736.52","17,845.01","17,845.01","17,710.54",4.42B,-1.10%
2022/3/3,"17,934.40","17,932.15","18,026.03","17,906.24",4.01B,0.37%
2022/3/2,"17,867.60","17,864.11","17,918.98","17,784.64",4.01B,-0.17%
2022/3/1,"17,898.25","17,657.50","17,944.50","17,657.50",4.58B,1.39%
2022/2/25,"17,652.18","17,617.36","17,737.32","17,554.97",5.03B,0.33%
2022/2/24,"17,594.55","17,939.53","17,939.53","17,561.07",6.00B,-2.55%
2022/2/23,"18,055.73","17,954.75","18,109.28","17,954.75",3.71B,0.48%
2022/2/22,"17,969.29","18,159.51","18,159.51","17,840.38",5.06B,-1.38%
2022/2/21,"18,221.49","18,196.40","18,253.10","18,129.65",4.49B,-0.06%
2022/2/18,"18,232.35","18,250.37","18,262.96","18,098.52",4.87B,-0.20%
2022/2/17,"18,268.57","18,213.30","18,330.63","18,190.24",5.12B,0.20%
2022/2/16,"18,231.47","18,109.17","18,233.79","18,109.17",3.82B,1.56%
2022/2/15,"17,951.81","17,978.44","18,085.91","17,942.68",3.61B,-0.25%
2022/2/14,"17,997.67","18,182.73","18,182.73","17,965.22",3.59B,-1.71%
2022/2/11,"18,310.94","18,258.81","18,310.94","18,191.75",3.54B,-0.15%
2022/2/10,"18,338.05","18,217.29","18,338.05","18,145.04",3.62B,1.03%
2022/2/9,"18,151.76","18,060.33","18,168.60","18,039.23",3.90B,1.03%
2022/2/8,"17,966.56","17,955.95","18,063.55","17,955.95",4.04B,0.37%
2022/2/7,"17,900.30","17,750.70","17,900.30","17,712.35",3.97B,1.28%
2022/1/26,"17,674.40","17,657.97","17,776.42","17,633.03",2.90B,-0.15%
2022/1/25,"17,701.12","17,890.71","17,890.71","17,645.66",3.51B,-1.60%
2022/1/24,"17,989.04","17,843.33","18,004.45","17,682.33",3.59B,0.50%
2022/1/21,"17,899.30","18,113.94","18,113.94","17,851.39",4.16B,-1.75%
2022/1/20,"18,218.28","18,212.26","18,292.14","18,125.20",3.21B,-0.05%
2022/1/19,"18,227.46","18,275.18","18,359.14","18,199.35",3.42B,-0.82%
2022/1/18,"18,378.64","18,492.81","18,575.41","18,378.64",3.16B,-0.79%
2022/1/17,"18,525.44","18,512.15","18,535.42","18,435.02",3.17B,0.66%
2022/1/14,"18,403.33","18,509.00","18,509.00","18,213.44",4.56B,-0.18%
2022/1/13,"18,436.93","18,356.21","18,459.73","18,346.81",4.60B,0.33%
2022/1/12,"18,375.40","18,348.39","18,394.70","18,255.38",4.20B,0.48%
2022/1/11,"18,288.21","18,266.54","18,293.53","18,135.43",4.69B,0.27%
